9,455,0
10,455,0
11,455,0
12,463,0
13,462,0
14,462,0
15,448,0
16,463,0
17,447,0
18,447,945
19,1502,1604
20,2019,1518
21,2019,1587
22,2019,1563
23,2019,1564
24,2019,1531
25,2019,1563
26,2019,0
27,1139,0
28,471,0
29,455,0
30,478,0
31,447,0
32,447,0
33,447,0
34,500,0
35,1046,0
36,1253,0
37,1261,0
38,1054,1629
39,454,0
40,487,0
41,439,0
42,439,0
43,455,0
44,439,0
45,486,0
46,690,1629
47,2019,1588
48,2019,1556
49,2019,1547
50,2019,1572
51,2019,1588
52,2019,1556
53,2019,0
54,1995,0
55,479,0
56,453,0
57,447,0
58,455,0
59,456,0
60,478,0
61,455,8
62,455,795
63,1286,773
64,1254,795
65,1294,58
66,524,0
67,447,0
68,446,0
69,447,0
70,497,0
71,462,0
72,446,0
73,455,1148
74,1685,1580
75,2019,1510
76,2019,1555
77,2019,1556
78,2019,1564
79,2019,1579
80,2019,1549
81,2019,0
82,885,0
83,478,0
84,448,0
85,485,0
86,464,0
87,455,0
88,447,0
89,455,0
90,1000,0
91,1253,0
92,1281,0
93,854,1629
94,439,0
95,455,0
96,439,0
97,439,0
98,446,0
99,455,0
100,455,596
101,1124,1518
102,2019,1629
103,2019,1572
104,2019,1549
105,2019,1555
106,2019,1564
107,2019,1571
108,2019,0
109,1444,0
110,455,0
111,447,0
112,447,0
113,470,0
114,448,0
115,478,0
116,439,270
117,717,767
118,1252,774
119,1260,617
120,1193,0
121,447,0
122,439,0
123,455,0
124,447,0
125,486,0
126,455,0
127,446,0
128,582,1629
129,2019,1571
130,2019,1548
131,2019,1571
132,2019,1572
133,2019,1556
134,2019,1564
135,2019,1629
136,2019,0
137,519,0
138,454,0
139,456,0
140,478,0
141,455,0
142,464,0
143,447,0
144,455,0
145,1200,0
146,1252,0
147,1249,1629
148,637,0
149,456,0
150,463,0
151,455,0
152,453,0
153,448,0
154,447,0
155,478,967
156,1487,1556
157,2019,1612
158,2019,1540
159,2019,1588
160,2019,1556
161,2019,1564
162,2019,1518
163,2019,0
164,1078,0
165,470,0
166,473,0
167,456,0
168,455,0
169,455,0
170,486,0
171,448,0
172,935,0
173,1274,0
174,1260,0
175,925,1629
176,448,8
177,463,0
178,463,0
179,447,0
180,470,0
181,455,0
182,447,0
183,1019,1629
184,2019,1540
185,2019,1572
186,2019,1524
187,2019,1571
188,2019,1556
189,2019,1548
190,2019,0
191,1597,0
192,446,0
193,455,0
194,455,0
195,471,0
196,456,0
197,455,0
198,499,0
199,640,959
200,1261,779
201,1263,713
202,1208,0
203,454,0
204,456,0
205,455,0
206,439,0
207,439,0
208,446,0
209,439,0
210,487,1475
211,1922,1563
212,2019,1572
213,2019,1564
214,2019,1507
215,2019,1556
216,2019,1571
217,2019,1580
218,2019,0
219,745,0
220,486,0
221,455,0
222,447,0
223,447,0
224,447,0
225,470,0
226,456,0
227,1180,0
228,1282,0
229,1261,1629
230,683,0
231,446,0
232,447,0
233,447,0
234,447,0
235,472,0
236,447,0
237,439,952
238,1507,1596
239,2019,1580
240,2019,1556
241,2019,1596
242,2019,1564
