Iteration,LCD,CPU,WIFI
0,0,853,0
1,0,1387,0
2,0,2309,0
3,0,821,0
4,0,1912,0
5,0,1676,0
6,0,889,0
7,0,601,0
8,0,540,0
9,0,508,0
10,0,815,0
11,0,508,0
12,0,508,0
13,0,508,0
14,0,570,0
15,0,570,0
16,0,539,0
17,0,493,0
18,0,2052,0
19,0,6628,0
20,0,6628,0
21,0,6628,0
22,0,6597,0
23,0,6521,0
24,0,6612,0
25,0,6519,0
26,0,5543,0
27,0,539,0
28,0,584,0
29,0,524,0
30,0,632,0
31,0,541,0
32,0,508,0
33,0,518,0
34,0,701,0
35,0,1749,0
36,0,1636,0
37,0,1646,0
38,0,1625,0
39,0,1608,0
40,0,1660,0
41,0,794,0
42,0,541,0
43,0,486,0
44,0,519,0
45,0,520,0
46,0,497,0
47,0,531,0
48,0,531,0
49,0,3243,0
50,0,4797,0
51,0,4853,0
52,0,4852,0
53,0,4842,0
54,0,4863,0
55,0,4863,0
56,0,4852,0
57,0,2208,0
58,0,541,0
59,0,487,0
60,0,530,0
61,0,518,0
62,0,498,0
63,0,520,0
64,0,541,0
65,0,1157,0
66,0,1633,0
67,0,1644,0
68,0,1644,0
69,0,1668,0
70,0,1642,0
71,0,1401,0
72,0,497,0
73,0,508,0
74,0,551,0
75,0,519,0
76,0,530,0
77,0,519,0
78,0,486,0
79,0,841,0
80,0,4842,0
81,0,6628,0
82,0,6628,0
83,0,6628,0
84,0,6597,0
85,0,6566,0
86,0,6628,0
87,0,6296,0
88,0,524,0
89,0,539,0
90,0,600,0
91,0,530,0
92,0,531,0
93,0,518,0
94,0,531,0
95,0,639,0
96,0,1633,0
97,0,1652,0
98,0,1625,0
99,0,1643,0
100,0,1642,0
101,0,1625,0
102,0,892,0
103,0,520,0
104,0,486,0
105,0,541,0
106,0,508,0
107,0,520,0
108,0,508,0
109,0,541,0
110,0,2875,0
111,0,4863,0
112,0,4809,0
113,0,4852,0
114,0,4842,0
115,0,4852,0
116,0,4820,0
117,0,4819,0
118,0,2760,0
119,0,541,0
120,0,541,0
121,0,531,0
122,0,519,0
123,0,498,0
124,0,508,0
125,0,562,0
126,0,1040,0
127,0,1625,0
128,0,1627,0
129,0,1611,0
130,0,1617,0
131,0,1647,0
132,0,1539,0
133,0,508,0
134,0,508,0
135,0,541,0
136,0,531,0
137,0,508,0
138,0,519,0
139,0,508,0
140,0,586,0
141,0,6410,0
142,0,6566,0
143,0,6553,0
144,0,6612,0
145,0,6551,0
146,0,6628,0
147,0,6597,0
148,0,6612,0
149,0,697,0
150,0,539,0
151,0,519,0
152,0,531,0
153,0,487,0
154,0,508,0
155,0,541,0
156,0,486,0
157,0,1572,0
158,0,1644,0
159,0,1672,0
160,0,1655,0
161,0,1646,0
162,0,1659,0
163,0,985,0
164,0,553,0
165,0,530,0
166,0,520,0
167,0,530,0
168,0,497,0
169,0,509,0
170,0,593,0
171,0,2445,0
172,0,4819,0
173,0,4831,0
174,0,4830,0
175,0,4863,0
176,0,4840,0
177,0,4819,0
178,0,4841,0
179,0,3088,0
180,0,519,0
181,0,486,0
182,0,540,0
183,0,574,0
184,0,519,0
185,0,508,0
186,0,497,0
187,0,907,0
188,0,1611,0
189,0,1648,0
190,0,1644,0
191,0,1633,0
192,0,1617,0
193,0,1575,0
194,0,497,0
195,0,530,0
196,0,520,0
197,0,486,0
198,0,531,0
199,0,519,0
200,0,551,0
201,0,531,0
202,0,4487,0
203,0,4786,0
204,0,4830,0
205,0,4841,0
206,0,4863,0
207,0,4853,0
208,0,4863,0
209,0,4810,0
210,0,723,0
211,0,508,0
212,0,497,0
213,0,498,0
214,0,519,0
215,0,541,0
216,0,508,0
217,0,519,0
218,0,1439,0
219,0,1630,0
220,0,1643,0
221,0,1628,0
222,0,1632,0
223,0,1606,0
224,0,1083,0
225,0,541,0
226,0,531,0
227,0,518,0
228,0,510,0
229,0,486,0
230,0,562,0
231,0,531,0
232,0,1956,0
233,0,4853,0
234,0,4852,0
235,0,4863,0
236,0,4853,0
237,0,4852,0
238,0,4842,0
239,0,4863,0
240,0,3589,0
241,0,531,0
242,0,497,0
243,0,508,0
244,0,552,0
245,0,542,0
246,0,531,0
247,0,519,0
248,0,796,0
249,0,1654,0
250,0,1633,0
251,0,1641,0
252,0,1646,0
253,0,1622,0
254,0,1652,0
255,0,639,0
256,0,519,0
257,0,541,0
258,0,575,0
259,0,498,0
260,0,519,0
261,0,519,0
262,0,541,0
263,0,3844,0
264,0,4842,0
265,0,4863,0
266,0,4820,0
267,0,4852,0
268,0,4852,0
269,0,4841,0
270,0,4852,0
271,0,1536,0
272,0,486,0
273,0,497,0
274,0,519,0
275,0,551,0
276,0,532,0
277,0,530,0
278,0,497,0
279,0,1372,0
280,0,1633,0
281,0,1669,0
282,0,1631,0
283,0,1649,0
284,0,1644,0
285,0,1239,0
286,0,542,0
287,0,539,0
288,0,488,0
289,0,475,0
290,0,530,0
291,0,552,0
292,0,508,0
293,0,1544,0
294,0,4797,0
295,0,4863,0
296,0,4863,0
297,0,4863,0
298,0,4863,0
299,0,4863,0
300,0,4853,0
301,0,4032,0
302,0,486,0
303,0,508,0
304,0,584,0
305,0,638,0
306,0,531,0
307,0,530,0
308,0,519,0
309,0,734,0
310,0,1666,0
311,0,1652,0
312,0,1614,0
313,0,1614,0
314,0,1611,0
315,0,1651,0
316,0,722,0
317,0,530,0
318,0,509,0
319,0,486,0
320,0,530,0
321,0,508,0
322,0,530,0
323,0,531,0
324,0,3422,0
325,0,4852,0
326,0,4863,0
327,0,4852,0
328,0,4863,0
329,0,4852,0
330,0,4842,0
331,0,4852,0
332,0,2108,0
333,0,497,0
334,0,508,0
335,0,520,0
336,0,530,0
337,0,520,0
338,0,508,0
339,0,527,0
340,0,1211,0
341,0,1646,0
342,0,1639,0
343,0,1616,0
344,0,1628,0
345,0,1622,0
346,0,1337,0
347,0,519,0
348,0,520,0
349,0,508,0
350,0,520,0
351,0,487,0
352,0,497,0
353,0,604,0
354,0,1074,0
355,0,4863,0
356,0,4863,0
357,0,4819,0
358,0,4842,0
359,0,4852,0
360,0,4819,0
361,0,4863,0
362,0,4540,0
363,0,519,0
364,0,486,0
365,0,530,0
366,0,553,0
367,0,486,0
368,0,529,0
369,0,519,0
370,0,584,0
371,0,1622,0
372,0,1625,0
373,0,1617,0
374,0,1638,0
375,0,1617,0
376,0,1614,0
377,0,911,0
378,0,542,0
379,0,530,0
380,0,562,0
381,0,519,0
382,0,530,0
383,0,509,0
384,0,551,0
385,0,2913,0
386,0,4841,0
387,0,4635,0
388,0,4841,0
389,0,4842,0
390,0,4796,0
391,0,4863,0
392,0,4841,0
393,0,2549,0
394,0,519,0
395,0,530,0
396,0,509,0
397,0,486,0
398,0,487,0
399,0,497,0
