Iteration,LCD,CPU,WIFI
0,0,612,0
1,0,989,0
2,0,1158,0
3,0,627,0
4,0,1177,0
5,0,801,0
6,0,588,0
7,0,504,0
8,0,456,0
9,0,439,0
10,0,610,0
11,0,448,0
12,0,439,0
13,0,462,0
14,0,448,0
15,0,471,0
16,0,440,0
17,0,439,0
18,0,640,0
19,0,2019,0
20,0,2019,0
21,0,2019,0
22,0,2019,0
23,0,2019,0
24,0,2019,0
25,0,2019,0
26,0,1937,0
27,0,464,0
28,0,446,0
29,0,439,0
30,0,456,0
31,0,439,0
32,0,447,0
33,0,439,0
34,0,447,0
35,0,1481,0
36,0,1237,0
37,0,1237,0
38,0,1246,0
39,0,1233,0
40,0,1270,0
41,0,1253,0
42,0,1261,0
43,0,1257,0
44,0,743,0
45,0,456,0
46,0,439,0
47,0,439,0
48,0,439,0
49,0,439,0
50,0,463,0
51,0,439,0
52,0,1312,0
53,0,2019,0
54,0,2019,0
55,0,2019,0
56,0,2019,0
57,0,2019,0
58,0,2019,0
59,0,2019,0
60,0,1290,0
61,0,449,0
62,0,439,0
63,0,439,0
64,0,455,0
65,0,455,0
66,0,439,0
67,0,448,0
68,0,760,0
69,0,1265,0
70,0,1250,0
71,0,1241,0
72,0,1249,0
73,0,1245,0
74,0,1238,0
75,0,1260,0
76,0,1243,0
77,0,1168,0
78,0,431,0
79,0,468,0
80,0,441,0
81,0,447,0
82,0,439,0
83,0,463,0
84,0,471,0
85,0,523,0
86,0,2019,0
87,0,2019,0
88,0,2019,0
89,0,2019,0
90,0,2019,0
91,0,2019,0
92,0,2019,0
93,0,2019,0
94,0,448,0
95,0,463,0
96,0,440,0
97,0,439,0
98,0,462,0
99,0,449,0
100,0,453,0
101,0,441,0
102,0,1192,0
103,0,1249,0
104,0,1237,0
105,0,1267,0
106,0,1259,0
107,0,1242,0
108,0,1306,0
109,0,1245,0
110,0,1253,0
111,0,797,0
112,0,455,0
113,0,448,0
114,0,439,0
115,0,463,0
116,0,439,0
117,0,439,0
118,0,440,0
119,0,1123,0
120,0,2019,0
121,0,2019,0
122,0,2019,0
123,0,2019,0
124,0,2019,0
125,0,2019,0
126,0,2019,0
127,0,1432,0
128,0,447,0
129,0,439,0
130,0,447,0
131,0,456,0
132,0,439,0
133,0,455,0
134,0,439,0
135,0,761,0
136,0,1258,0
137,0,1242,0
138,0,1265,0
139,0,1305,0
140,0,1266,0
141,0,1242,0
142,0,1241,0
143,0,1245,0
144,0,1184,0
145,0,447,0
146,0,439,0
147,0,439,0
148,0,439,0
149,0,439,0
150,0,476,0
151,0,441,0
152,0,553,0
153,0,2019,0
154,0,2019,0
155,0,2019,0
156,0,2019,0
157,0,2019,0
158,0,2019,0
159,0,2019,0
160,0,2019,0
161,0,482,0
162,0,447,0
163,0,448,0
164,0,469,0
165,0,449,0
166,0,439,0
167,0,455,0
168,0,456,0
169,0,1196,0
170,0,1245,0
171,0,1242,0
172,0,1245,0
173,0,1253,0
174,0,1241,0
175,0,1272,0
176,0,1269,0
177,0,1266,0
178,0,721,0
179,0,439,0
180,0,455,0
181,0,472,0
182,0,448,0
183,0,454,0
184,0,440,0
185,0,470,0
186,0,1361,0
187,0,2019,0
188,0,2019,0
189,0,2019,0
190,0,2019,0
191,0,2019,0
192,0,2019,0
193,0,2019,0
194,0,1265,0
195,0,449,0
196,0,439,0
197,0,447,0
198,0,439,0
199,0,439,0
200,0,439,0
201,0,447,0
202,0,787,0
203,0,1249,0
204,0,1237,0
205,0,1268,0
206,0,1242,0
207,0,1241,0
208,0,1245,0
209,0,1242,0
210,0,1253,0
211,0,1147,0
212,0,439,0
213,0,439,0
214,0,439,0
215,0,455,0
216,0,440,0
217,0,447,0
218,0,439,0
219,0,723,0
220,0,2019,0
221,0,2019,0
222,0,2019,0
223,0,2019,0
224,0,2019,0
